num_site = 50lan = False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVERAGE,STD,BEST
Instance0,6956.724227,7021.584956,7022.707717,6857.79762,6857.79762,7971.227897,7190.123682,7174.287897,7304.630805,7009.96511,7134.977945,7116.662291,7337.037751,7014.777282,7477.181624,7619.23326,7476.492924,7218.747607,7247.718635,7400.888821,6857.79762,7165.809822,7095.348058,6992.483011,7406.766181,7674.301904,7615.301283,7805.795586,7065.576097,7600.325486,7256.335691,7256.335691,288.5670037,6857.79762
Instance1,8146.20748,7802.446023,8162.898702,7556.475094,8104.703797,7832.765395,7903.440046,7859.11142,7750.478832,7575.75163,7953.473601,7795.414443,7985.331118,7747.521563,7597.731016,7560.28749,8160.639419,7949.700695,7897.082045,7753.562407,7761.903536,7807.590499,7827.511464,8039.446736,7862.47519,7558.628138,7640.603801,7893.679948,7598.655728,8126.704363,7840.407387,7840.407387,186.9991899,7556.475094
Instance2,7206.076296,7305.428104,7371.375368,7415.105073,7513.900323,7377.292923,7777.730237,7381.658375,7184.575929,7174.448728,7350.420424,7374.685856,7273.106225,7567.104708,7118.703719,7098.768209,7706.494464,7513.445314,7250.230857,7179.64165,7378.952334,7422.741288,7427.62095,7174.448728,7604.256315,7259.355592,7399.425689,7404.735988,7685.420976,7181.001364,7369.271734,7369.271734,174.2980231,7098.768209
Instance3,7919.424285,7873.802135,8172.410576,7951.270462,7759.225374,8119.393005,8070.751827,8345.261383,8057.081796,8016.496285,8250.274202,8059.805542,8212.132178,8102.067636,8330.302734,7995.730508,8245.628585,7851.483927,8045.192777,8163.39511,7721.42571,8013.824149,8080.719752,7917.066956,8017.818572,7748.994901,8069.61782,8083.574546,7825.482754,7896.348788,8030.533476,8030.533476,160.8249091,7721.42571
Instance4,8433.813826,8617.869253,8427.659672,8381.058734,8426.949626,8415.147077,8963.628463,8239.193032,8626.776411,8606.896828,8225.231965,8604.864542,9157.945127,8582.236624,8438.035723,8346.920954,8818.138163,8664.25325,8347.849719,8471.132167,8347.849719,8427.659672,8397.768565,8435.01649,8801.235648,9106.982877,8660.525188,8757.604136,8524.536262,8459.484466,8557.142139,8557.142139,228.3929201,8225.231965
Instance5,7747.168808,8399.350258,7969.835344,8494.780938,8097.554633,8338.028901,7951.602976,8025.021977,7821.050094,8376.337574,8196.837138,8155.130955,8115.942329,8157.197464,7912.0567,7912.0567,7991.498648,7687.732794,8298.862071,7976.255487,7952.311404,8215.692491,7969.012138,8174.873099,7888.059825,8215.156697,8244.002141,8214.269817,8311.595654,8037.490536,8094.892186,8094.892186,195.4817359,7687.732794
Instance6,8136.254804,8274.785453,7890.151372,8816.182739,8337.600734,8149.322266,8247.869777,8219.870436,8373.585256,8265.33952,8111.114206,8443.394382,8142.548236,8072.411005,8072.708343,8079.527443,8133.790107,8269.131905,8305.127736,8010.093723,8369.982652,8187.067605,8021.887979,8019.157127,8228.156756,7980.900564,8281.096961,8280.110935,8045.143006,8148.449829,8197.092095,8197.092095,173.1392627,7890.151372
Instance7,7006.593197,6834.757638,7008.609629,7004.352184,7308.418871,7067.87677,6913.867074,7208.71558,7121.244348,6979.575313,6913.867074,6796.706267,7413.60251,6796.706267,7098.828621,7153.089024,7034.958339,6931.158549,7305.569756,7006.593197,7227.531139,7279.488115,6925.172695,7046.213639,7395.433412,7151.656335,7110.352618,7264.410601,7006.593197,7274.245022,7086.206233,7086.206233,167.1703821,6796.706267
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_site = 50lan = True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
