num_site = 50neighborhood_lan = False
Instance_0_avg,23553.252639,24311.302314,24994.361290,25075.583793,24473.466195,22966.982466,23452.148337,23070.242887,23443.042024,24991.010877,23172.104139,24393.420047,23127.787465,23430.619113,24530.767134,22431.011391,24645.787145,24616.706350,23035.552645,24765.879784,22770.191315,23381.853204,23426.660125,23245.452827,24136.359419,23706.946912,22937.046730,23168.416518,24724.410545,23923.914810,
Instance_0_best,9962.775554,10667.513023,10225.564780,9469.153041,12277.296273,11535.226962,10585.513064,10403.552343,11693.307341,9677.920460,9184.335493,10457.614418,10024.035760,9791.299881,11166.873871,9325.324183,10662.226854,9564.293830,9003.372198,10535.147690,9458.639234,11127.141959,8957.069967,9133.314383,10074.466795,10298.793306,11262.819454,9830.902270,10303.220226,11588.640193,
Instance_1_avg,23393.492214,23530.609354,23501.650485,23263.887091,23239.163829,23655.749452,24262.893578,23932.536618,25392.928447,23931.134469,23788.950258,24899.706274,24377.177417,23020.817642,23925.169791,23737.155864,24299.607121,23396.725731,24642.185238,23428.503782,24095.098805,24635.688772,23779.366629,23190.011827,24514.388196,25307.397471,23982.767993,25346.216179,23454.793850,24705.825887,
Instance_1_best,9919.533446,10063.791748,11173.650862,9504.762576,9731.216028,11803.665274,9434.878510,9824.682291,10532.919988,9620.338464,11372.046682,11251.287728,10708.633958,10591.334844,10198.313045,10206.922711,10820.125513,10402.350046,11580.146727,9622.299829,11812.032426,10394.405656,9824.020596,11166.420623,10212.319147,11029.517665,11751.485798,11342.299516,9839.082063,8843.236639,
Instance_2_avg,22199.062162,22132.692422,22225.543325,23072.367293,22416.370121,21504.269479,23249.334839,21826.643078,23111.809045,22867.537442,21780.873769,22901.785857,22781.569268,22252.759260,22291.534215,22229.070565,22027.200394,22097.455351,22224.704459,22830.853215,20984.773722,22876.381590,24229.885980,21991.054329,22130.305672,22455.416873,22111.863443,21994.589849,23421.233458,22270.376594,
Instance_2_best,9454.259134,9062.185139,9254.629860,10201.291370,9414.527339,9823.982603,10097.990585,9985.242546,11885.292305,8384.281192,8938.743857,9777.649824,9228.095030,11579.965371,9032.107115,8800.023069,9358.656278,9648.505419,8873.250269,10676.437198,10035.556702,9682.139426,12052.363870,10907.759532,9178.090088,9163.743493,9137.101316,8938.743857,9311.848582,9345.929865,
Instance_3_avg,23615.866971,23239.018481,22274.360586,22981.682583,21184.542658,23320.853317,21744.502878,22054.137776,21518.895394,22469.669601,22155.938937,22219.469610,22218.257534,23315.734919,22456.216637,22118.846107,23407.145071,22160.021517,22793.588286,21838.645239,23164.452949,23053.122896,23030.157623,23004.916815,22352.397940,21542.132569,22498.682986,21545.104309,23149.962134,23093.859350,
Instance_3_best,10594.390043,10323.060907,9951.780816,10559.009552,9114.305234,9866.617660,9956.310031,11235.312459,9825.956123,11303.685077,9100.138171,10097.481250,10853.202577,11629.073203,9879.444571,10845.272001,10726.867942,11063.962212,10538.062416,9178.408520,10860.714747,11454.543038,11557.598976,11525.787591,11104.132193,10749.123923,9229.047495,11097.470850,11454.543038,10514.039859,
Instance_4_avg,25220.992951,25142.517757,24196.682056,26576.934568,24566.165926,24753.304799,26179.398600,24976.868290,24820.362531,23727.399431,24296.412371,24843.900814,25732.449827,24231.330637,24761.784647,26979.128185,24669.361792,25704.749782,25074.267642,24830.821920,25688.824974,24634.615741,24664.443764,25974.784589,25770.310298,25882.021247,24319.829885,24969.502746,25019.883628,24465.916332,
Instance_4_best,10266.328494,10687.875211,11195.884673,11002.692502,10609.770424,11249.497131,11586.810687,10759.782670,11795.933075,10964.817037,11453.310111,10408.809594,11837.183018,10224.764595,10135.384261,12129.598481,10569.179762,11822.641021,11970.795163,10419.570827,11080.093680,10432.788885,10139.855572,11193.163649,11343.657423,9979.497625,11438.510071,11875.633318,11257.354374,9509.865442,
Instance_5_avg,24002.329163,24401.578104,23268.765889,24391.097822,23998.538048,23246.675075,23192.208946,25415.202817,23698.362676,23678.531417,23883.798970,23547.072306,23716.270552,23669.305029,24337.179753,24466.477198,24103.973141,24075.465067,22124.159789,24401.801943,23357.778875,23598.735906,23879.684218,24960.722616,23525.404676,22426.754881,23545.446044,24908.864568,23126.618380,23238.973776,
Instance_5_best,11903.136985,11671.370741,11027.941750,11802.645973,12156.640060,10691.463386,10655.794626,12629.339371,10612.386963,9688.838269,10185.242140,11583.692214,10253.045298,10739.606467,10562.386052,13182.857771,10693.852222,12615.743805,10800.989863,11464.962725,10114.754593,10836.137642,11592.504483,13184.242727,11468.271373,10097.688400,10779.545931,10741.549904,11276.742758,9913.474918,
Instance_6_avg,22491.482376,20285.953079,22880.028876,22195.357570,21667.240953,22371.792850,22549.514953,22292.952446,22458.968639,22946.030251,21490.425629,21809.438879,21200.383527,22097.810152,22586.184213,21118.243265,21725.596090,21440.288263,22270.239658,22642.555497,22502.489742,22209.994390,23255.400126,22184.776592,21426.707014,21296.007922,22560.097728,21858.096334,20509.649705,22278.591056,
Instance_6_best,13685.477276,9535.364061,12093.669104,10812.121381,11769.384252,10466.040515,10872.200451,10768.991198,10541.926543,10847.464919,11186.262038,10871.044696,11196.028090,10812.121381,12543.181988,11697.043217,10315.226118,11556.117986,11291.833910,12788.625914,14187.762288,11458.797287,12813.653551,11435.889598,9061.907638,11450.316521,12718.647197,11651.925513,11217.943635,11709.492462,
Instance_7_avg,22455.909396,21873.943742,22030.671539,22613.768728,21739.484908,22562.224360,21888.661037,22995.510919,22089.025354,22313.307113,22779.286912,21888.560994,23037.862388,22335.907607,22491.198133,22607.300803,22897.584981,22284.316200,22213.448236,21746.009120,23490.892650,22739.243266,23792.001360,22691.701080,21870.243894,22323.845543,22022.860234,22136.555381,23933.112674,22136.193537,
