num_site = 10lan = False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instance0,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279
Instance1,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776
Instance2,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276
Instance3,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619,3104.341619
Instance4,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543,3063.060543
Instance5,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726,2258.03726
Instance6,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815,2369.839815
Instance7,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268,1808.556268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_site = 10lan = True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instance0,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279,3346.929279
Instance1,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776,2608.602776
Instance2,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276,2381.656276
