num_site = 50lan = False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVERAGE,STD,BEST,,,AVE GAP,BEST GAP
Instance0,7030.680622,7247.718635,6857.79762,7756.617334,7423.676794,7095.348058,7020.829148,7234.3054,7437.690918,7232.291479,7075.181093,7226.444667,7249.734982,7167.444593,7405.854627,7222.717926,7157.199653,7021.584956,7609.704422,7541.85491,7851.06884,7280.493285,7176.620552,7400.888821,7284.315774,7298.652181,7900.487668,7116.662291,7194.527687,7438.056023,7298.548365,240.96,6857.79762,7218.510614,6956.724227,1.11,-1.42
Instance1,7556.475094,8086.225984,7715.722132,7975.781149,7617.065344,7756.869716,7779.215342,7597.731016,7812.335002,7946.782945,7893.931347,7809.297101,8071.35949,7880.917913,7681.55898,7556.475094,7699.860588,8508.982724,7865.760267,8690.961796,7608.718799,8465.556706,7704.627023,7827.877133,7690.968604,7681.55898,7689.070383,7602.253897,7981.028231,7575.75163,7844.357347,279.38,7556.475094,7733.453346,7512.874746,1.43,0.58
Instance2,7286.981213,7380.88143,7678.09929,7593.060894,7614.821753,7309.900024,7146.440097,7228.990208,7497.31766,7620.663933,7126.034959,7417.471136,7237.550576,7454.404079,7306.677212,7603.225988,7495.982404,7669.373149,7146.440097,7261.911597,7493.776474,7496.23456,7155.10025,7222.487713,7154.055608,7514.939016,7518.202911,7459.899677,7461.06415,7434.364389,7399.545082,169.24,7126.034959,7434.712056,7173.969385,-0.47,-0.67
Instance3,8165.261368,8286.312226,8106.004543,8378.992832,7814.18536,8146.505833,8310.855762,7864.396676,7759.225374,8224.572764,8344.191808,8301.238504,7912.419505,8103.448276,8062.021919,8270.835412,8099.926041,7965.758017,8284.779899,7911.235059,8193.82687,8081.620507,8133.036751,7768.518794,8289.963314,8311.93365,8039.195575,8048.753086,8332.514691,8302.697896,8127.140944,179.49,7759.225374,7989.844242,7625.13169,1.72,1.76
Instance4,8494.190958,8103.476157,8798.474938,8501.159902,8669.834417,8543.459808,8660.574862,8411.905867,8535.575295,8716.570357,8568.037961,8833.708469,8534.723006,8913.170974,8479.839915,8507.063368,8916.691889,8103.476157,8550.859506,8160.579274,8160.579274,9037.797993,8489.913154,8630.021315,8836.539002,9309.198243,8346.90262,8672.797448,8160.579274,8347.842372,8566.518126,279.54,8103.476157,8479.381114,8103.476157,1.03,0
Instance5,8169.269942,7850.342996,7747.168808,7863.978727,8250.800536,8129.02565,8112.22315,7794.897395,7849.610125,8191.454468,7821.050094,8210.180087,8248.658193,7964.227795,7912.0567,8127.592831,8157.873401,8392.770444,8209.274117,8273.040848,7843.640743,7687.732794,8374.22691,8172.163555,7790.149023,7851.872989,8021.197656,8365.038559,7882.901082,8357.186727,8054.053545,210.78,7687.732794,8074.322808,7747.924199,-0.25,-0.78
Instance6,8316.377915,8549.683242,7973.791782,8343.272246,7992.360224,7957.158036,8461.450546,8393.073235,8389.903592,8135.975201,8301.774272,7866.683301,8240.016834,8038.75064,8291.54132,8252.36714,8157.219061,8317.932923,8106.065499,8159.706462,8344.394928,8609.208949,8091.875373,8334.085635,8392.150737,8348.447346,8196.862354,8534.431525,7901.020838,7901.020838,8229.9534,198.53,7866.683301,8135.348996,7896.163842,1.16,-0.37
Instance7,7254.802665,7248.004861,7164.724815,7139.500056,7433.355787,7397.857519,6925.774231,7086.362427,6979.575313,7014.04832,6989.495667,7195.882647,7129.203808,7221.241627,7161.146651,6891.501308,6884.774072,7062.807188,7284.643431,7318.325455,7369.513886,7114.143225,7090.264928,7131.304236,7629.280109,7143.371483,7019.226183,6884.774072,7692.539006,7019.226183,7162.555705,197.19,6884.774072,7146.154125,6834.757638,0.23,0.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,0,,,,
num_site = 50neighborhood_lan = False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,0,,,,
Instance0,7293.040948,7152.046952,6956.724227,7878.524429,7255.228097,7444.69259,7315.843548,7009.96511,6985.899279,7100.648821,7177.53417,7353.298661,7065.576097,7020.829148,7074.460629,7340.464161,7426.501829,6985.899279,7424.501658,6974.728147,7188.707146,7195.211395,7105.188939,7106.796168,7635.916371,7428.740884,7190.923889,6967.070941,7213.943275,7286.411623,7218.510614,209.65,6956.724227,,,,
Instance1,7512.874746,7747.521563,7809.297101,7575.75163,7763.765685,7598.655728,7795.414443,7904.005844,7742.070683,7713.996931,7851.316137,7639.995808,7756.869716,8103.611164,7625.0059,7598.655728,7854.188867,8213.927124,7580.099219,7560.28749,7556.475094,7512.874746,7887.286524,7660.634515,7772.709395,7640.603801,7556.475094,7908.003399,7597.731016,7963.4953,7733.453346,170.61,7512.874746,,,,
Instance2,7212.977822,7590.044869,7228.990208,7594.182716,7946.128699,7924.25581,7335.951438,7199.574293,7450.111822,7800.419716,7625.419128,7371.375368,7297.320489,7206.076296,7258.275993,7283.24481,7511.284712,7336.543477,7795.522788,7355.860059,7384.59772,7173.969385,7380.88143,7471.5356,7477.807044,7471.5356,7286.27723,7564.972532,7306.650329,7199.574293,7434.712056,211.93,7173.969385,,,,
Instance3,8082.894157,7625.13169,7909.834666,8429.512912,8014.032351,8030.027727,8016.985964,7965.758017,7845.896377,8132.256993,7896.348788,7759.225374,8138.267353,7625.13169,8161.504645,8092.204099,7986.352555,7845.896377,8068.111223,8227.24904,8124.822519,7721.42571,8090.986918,7845.407941,7768.518794,7957.366775,7848.821084,8359.265859,7825.482754,8300.606914,7989.844242,198.11,7625.13169,,,,
Instance4,8160.579274,8626.959207,8350.90838,8103.476157,8263.89521,8318.804547,8451.115622,8226.685193,8436.994449,8436.751684,8336.345008,8720.273195,8669.834417,8768.307281,8345.683532,8325.532498,8875.994197,8486.161452,8636.983462,8535.575295,8518.530807,8518.606661,8567.127013,8336.345008,8346.920954,8430.693019,8763.715738,8579.79676,8574.404347,8668.433042,8479.381114,185.62,8103.476157,,,,
Instance5,8158.047622,7978.048493,8080.338798,7857.582467,7976.457607,8241.146568,7790.149023,7858.750314,8648.794804,8222.299845,7978.048493,7957.686787,8601.742705,7790.149023,8301.323417,8164.032075,8526.131244,7873.887918,8286.879389,7946.873763,7959.53794,8313.684202,7961.64796,7747.924199,8042.383904,8187.643936,7959.992912,7888.059825,8056.5511,7873.887918,8074.322808,232.29,7747.924199,,,,
Instance6,7998.130401,8007.883921,8078.37082,8383.81249,8553.213978,8174.091571,8007.883921,8324.332618,7950.14459,8465.347649,8266.014445,8106.725837,8133.541537,7995.292823,8045.143006,7957.158036,8026.825515,8130.199314,7979.429953,8156.743907,8166.710856,8381.123394,7896.163842,8020.635593,7963.806551,8060.373814,8113.261374,8341.905427,8303.494348,8072.708343,8135.348996,166.08,7896.163842,,,,
Instance7,7129.203808,7004.352184,7365.087465,6945.690574,7203.045962,7245.493992,7004.868039,7079.481202,7291.644936,7178.292894,7210.504363,7014.04832,7023.246628,6891.501308,6834.757638,7078.328201,7366.228415,7152.888261,7070.39066,7342.317387,7514.94486,7220.457114,7208.71558,7277.718244,7078.328201,6891.501308,6925.172695,7175.143143,7218.899329,7442.371043,7146.154125,167.23,6834.757638,,,,
